Master_Collection,Department_Number,Vendor_Number,VendorColor,Color_Code,Total_Inventory,Fabric,Color,Type,Factory Status,Factory Continent
SCULPTURAL,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLGH,BLGH,1170,BELGIAN LINEN,GRAPHITE,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLMS,BLMS,132,BELGIAN LINEN,MIST,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLSG,BLSG,5112,BELGIAN LINEN,NICKEL,FABRIC,DISC,EUROPE
LUGANO,5900,1350,1350BMCM,BMCM,5637,BERKSHIRE LEATHER,CAMEL,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMCM,BMCM,5637,BERKSHIRE LEATHER,CAMEL,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMCM,BMCM,5637,BERKSHIRE LEATHER,CAMEL,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMCM,BMCM,5637,BERKSHIRE LEATHER,CAMEL,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMCM,BMCM,5637,BERKSHIRE LEATHER,CAMEL,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMCN,BMCN,20262,BERKSHIRE LEATHER,CHESTNUT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMCO,BMCO,92480,BERKSHIRE LEATHER,COCOA,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMDV,BMDV,11099,BERKSHIRE LEATHER,TRUFFLE,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMEB,BMEB,15832,BERKSHIRE LEATHER,EBONY,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMGT,BMGT,1903,BERKSHIRE LEATHER,GRAPHITE,LEATHER,DISC,EUROPE
MONZA,5900,1350,1350BMGT,BMGT,1903,BERKSHIRE LEATHER,GRAPHITE,LEATHER,DISC,EUROPE
SCULPTURAL,5900,1350,1350BMGT,BMGT,1903,BERKSHIRE LEATHER,GRAPHITE,LEATHER,DISC,EUROPE
BURANO,5900,1350,1350BMGT,BMGT,1903,BERKSHIRE LEATHER,GRAPHITE,LEATHER,DISC,EUROPE
COSTERA,5900,1350,1350BMGT,BMGT,1903,BERKSHIRE LEATHER,GRAPHITE,LEATHER,DISC,EUROPE
LUGANO,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMSM,BMSM,29047,BERKSHIRE LEATHER,SMOKE,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMST,BMST,2297,BERKSHIRE LEATHER,STONE,LEATHER,DISC,EUROPE
MONZA,5900,1350,1350BMST,BMST,2297,BERKSHIRE LEATHER,STONE,LEATHER,DISC,EUROPE
SCULPTURAL,5900,1350,1350BMST,BMST,2297,BERKSHIRE LEATHER,STONE,LEATHER,DISC,EUROPE
BURANO,5900,1350,1350BMST,BMST,2297,BERKSHIRE LEATHER,STONE,LEATHER,DISC,EUROPE
COSTERA,5900,1350,1350BMST,BMST,2297,BERKSHIRE LEATHER,STONE,LEATHER,DISC,EUROPE
LUGANO,5900,1350,1350BMTW,BMTW,5896,BERKSHIRE LEATHER,TWILIGHT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMTW,BMTW,5896,BERKSHIRE LEATHER,TWILIGHT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMTW,BMTW,5896,BERKSHIRE LEATHER,TWILIGHT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMTW,BMTW,5896,BERKSHIRE LEATHER,TWILIGHT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMTW,BMTW,5896,BERKSHIRE LEATHER,TWILIGHT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BMWL,BMWL,9339,BERKSHIRE LEATHER,WALNUT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BMWL,BMWL,9339,BERKSHIRE LEATHER,WALNUT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BMWL,BMWL,9339,BERKSHIRE LEATHER,WALNUT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BMWL,BMWL,9339,BERKSHIRE LEATHER,WALNUT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BMWL,BMWL,9339,BERKSHIRE LEATHER,WALNUT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BRCM,BRCM,4587,BROMPTON LEATHER,CAMEL,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BRCM,BRCM,4587,BROMPTON LEATHER,CAMEL,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BRCM,BRCM,4587,BROMPTON LEATHER,CAMEL,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BRCM,BRCM,4587,BROMPTON LEATHER,CAMEL,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BRCM,BRCM,4587,BROMPTON LEATHER,CAMEL,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BRCN,BRCN,8593,BROMPTON LEATHER,CHESTNUT,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
BURANO,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
COSTERA,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
LUGANO,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
MONZA,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
SCULPTURAL,5900,1350,1350BRDV,BRDV,10649,BROMPTON LEATHER,TRUFFLE,LEATHER,Active,EUROPE
